,precision,recall,f1-score,support
a,0.8198198198198198,0.9285714285714286,0.8708133971291866,98.0
b,0.5425531914893617,0.85,0.6623376623376623,60.0
ba,0.6875,0.5,0.5789473684210527,66.0
be_bi,0.7127659574468085,0.9571428571428572,0.8170731707317073,70.0
bo_bu,0.8,0.25806451612903225,0.3902439024390244,62.0
d,0.6630434782608695,0.6288659793814433,0.6455026455026455,97.0
da_ra,0.6224489795918368,0.8840579710144928,0.7305389221556886,69.0
de_di,0.7395833333333334,0.9861111111111112,0.8452380952380952,72.0
do_du,0.59375,0.5066666666666667,0.5467625899280576,75.0
e_i,0.9863013698630136,0.9230769230769231,0.9536423841059603,78.0
g,0.6990291262135923,0.7272727272727273,0.7128712871287128,99.0
ga,0.8936170212765957,0.6,0.717948717948718,70.0
ge_gi,0.6186440677966102,1.0,0.7643979057591623,73.0
go_gu,0.6888888888888889,0.41333333333333333,0.5166666666666667,75.0
h,0.6355140186915887,0.723404255319149,0.6766169154228856,94.0
ha,0.6781609195402298,0.7662337662337663,0.7195121951219512,77.0
he_hi,0.7058823529411765,0.7868852459016393,0.7441860465116279,61.0
ho_hu,0.673469387755102,0.4782608695652174,0.559322033898305,69.0
k,0.4583333333333333,0.5689655172413793,0.5076923076923077,58.0
ka,0.6962025316455697,0.9322033898305084,0.7971014492753623,59.0
ke_ki,1.0,0.859375,0.9243697478991597,64.0
ko_ku,0.6,0.3333333333333333,0.42857142857142855,72.0
l,0.8269230769230769,0.5584415584415584,0.6666666666666666,77.0
la,0.5632183908045977,0.7313432835820896,0.6363636363636364,67.0
le_li,1.0,0.8095238095238095,0.8947368421052632,63.0
lo_lu,0.5128205128205128,0.7017543859649122,0.5925925925925926,57.0
m,0.39568345323741005,0.7236842105263158,0.5116279069767442,76.0
ma,0.7,0.717948717948718,0.7088607594936709,78.0
me_mi,0.9104477611940298,0.7625,0.8299319727891157,80.0
mo_mu,0.6486486486486487,0.2696629213483146,0.38095238095238093,89.0
n,0.8157894736842105,0.37349397590361444,0.512396694214876,83.0
na,0.47580645161290325,0.8082191780821918,0.5989847715736041,73.0
ne_ni,0.7560975609756098,0.9393939393939394,0.8378378378378378,66.0
ng,0.7640449438202247,0.6601941747572816,0.7083333333333334,103.0
nga,0.5752212389380531,0.9420289855072463,0.7142857142857143,69.0
nge_ngi,1.0,0.7303370786516854,0.8441558441558441,89.0
ngo_ngu,0.6376811594202898,0.5057471264367817,0.5641025641025641,87.0
no_nu,0.5641025641025641,0.39285714285714285,0.4631578947368421,56.0
o_u,0.975,0.9629629629629629,0.968944099378882,81.0
p,0.4339622641509434,0.6634615384615384,0.5247148288973384,104.0
pa,0.5882352941176471,0.5050505050505051,0.5434782608695652,99.0
pe_pi,0.7619047619047619,0.6336633663366337,0.6918918918918919,101.0
po_pu,0.5540540540540541,0.41836734693877553,0.47674418604651164,98.0
r,0.9,0.5625,0.6923076923076923,80.0
ra,0.594059405940594,0.8571428571428571,0.7017543859649122,70.0
re_ri,0.9117647058823529,0.44285714285714284,0.5961538461538461,70.0
ro_ru,0.6712328767123288,0.6805555555555556,0.6758620689655173,72.0
s,0.7,0.6588235294117647,0.6787878787878788,85.0
sa,0.42735042735042733,0.6944444444444444,0.5291005291005291,72.0
se_si,0.875,0.35,0.5,60.0
so_su,0.6037735849056604,0.49230769230769234,0.5423728813559322,65.0
t,0.6571428571428571,0.8598130841121495,0.7449392712550608,107.0
ta,0.6833333333333333,0.5942028985507246,0.6356589147286822,69.0
te_ti,0.7752808988764045,0.8414634146341463,0.8070175438596491,82.0
to_tu,0.775,0.40789473684210525,0.5344827586206896,76.0
w,0.6868686868686869,0.7391304347826086,0.7120418848167539,92.0
wa,0.6153846153846154,0.7088607594936709,0.6588235294117647,79.0
we_wi,0.8333333333333334,0.6410256410256411,0.7246376811594203,78.0
wo_wu,0.5714285714285714,0.5714285714285714,0.5714285714285714,84.0
y,0.5844155844155844,0.45454545454545453,0.5113636363636364,99.0
ya,0.6292134831460674,0.5436893203883495,0.5833333333333334,103.0
ye_yi,0.6770833333333334,0.7831325301204819,0.7262569832402235,83.0
yo_yu,0.4351851851851852,0.6103896103896104,0.5081081081081081,77.0
accuracy,0.6636160260321334,0.6636160260321334,0.6636160260321334,0.6636160260321334
macro avg,0.6917777820878827,0.6653439488545079,0.6573896669541658,4917.0
weighted avg,0.6912364694047953,0.6636160260321334,0.6575774395509384,4917.0
