Rotation,SVC Accuracy,CNN Accuracy
neg30,0.09151921903599756,0.07728289607484239
neg25,0.1437868619076673,0.12283912955053895
neg20,0.2534065487085621,0.21273134024811877
neg15,0.408989221069758,0.3695342688631279
neg10,0.6007728289607485,0.5503355704697986
neg5,0.760829774252593,0.6760219646125687
zero0,0.8063860077282896,0.7173073011999187
pos5,0.7569656294488509,0.6768354687817775
pos10,0.5849094976611755,0.5379296318893634
pos15,0.3762456782591011,0.3233679072605247
pos20,0.25198291641244663,0.16758185885702664
pos25,0.1610738255033557,0.09456985967053082
pos30,0.10026438885499288,0.06589383770591824
